1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
North America,554.52133,560.11266,598.7188,628.96424,643.32456,625.04103,638.15114,603.08962,569.54809,649.18543,686.62304,698.4128,679.49166,716.7583,697.506,759.58469,820.86315,822.45919,769.67683,791.46725,763.16144,672.17803,743.35392,740.85852,746.08948,777.88961,800.07851,779.75642,829.61597,832.6826
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,252.233,264.94,257.217,265.344,285.593,302.397,309.43,315.392,305.828,290.95,297.65755,309.10025,317.48915,325.0037,332.0034,338.03305,357.7529,353.8419,335.6319,350.186,363.036,338.535,356.085,343.515,346.7538,370.155,362.4975,377.9452,390.367,374.4776
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,17.6,25.274,23.964,21.873,24.782,27.609,23.213,22.575,25.635,29.073,28.11175,26.80025,31.4248,31.56015,25.1748,32.6497,36.5813,31.36919,30.04945,38.29845,38.85295,34.007,30.304,28.0059,33.61865,37.2629,38.8347,36.8326,46.5133,33.8807
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,284.68833,269.89866,317.5378,341.74724,332.94956,295.03503,305.50814,265.12262,238.08509,329.16243,360.85374,362.5123,330.57771,360.19445,340.3278,388.90194,426.52895,437.2481,403.99548,402.9828,361.27249,299.63603,356.96492,369.33762,365.71703,370.47171,398.74631,364.97862,392.73567,424.3243
Central & South America,205.8138,208.4267,227.7479,247.034,270.5009,291.7463,315.4365,329.3858,342.5196,350.8731,369.50821,389.97056,398.34672,428.17583,453.87994,469.76262,491.45633,516.73983,525.75184,529.27061,559.2523,525.60706,551.26354,578.10007,600.64064,634.85721,663.78842,689.83591,696.23329,703.33
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
